post_date,price,mfdate,mileage,gear_box,condition,fuel,body_style,origin,district,city,car_age,is_imported
2025,325000000,2015,86000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Hai Bà Trưng,Hà Nội,10,0
2025,545000000,2018,90000.0,Tự động,Đã sử dụng,Xăng,Minivan (mpv),Trong nước,Quận Bắc Từ Liêm,Hà Nội,7,0
2025,530000000,2014,110000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Long Biên,Hà Nội,11,1
2025,425000000,2021,44000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Thanh Xuân,Hà Nội,4,0
2025,358000000,2017,90000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hai Bà Trưng,Hà Nội,8,0
2025,420000000,2018,91000.0,Số sàn,Đã sử dụng,Dầu,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,7,0
2025,1250000000,2016,95000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Nhập khẩu,Quận Thanh Xuân,Hà Nội,9,1
2025,1280000000,2015,70000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Tây Hồ,Hà Nội,10,0
2025,350000000,2022,60000.0,Số sàn,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hoàng Mai,Hà Nội,3,0
2025,508000000,2016,86000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Hai Bà Trưng,Hà Nội,9,0
2025,415000000,2022,48000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Thanh Xuân,Hà Nội,3,0
2025,655000000,2022,21511.0,Tự động,Đã sử dụng,Dầu,Pick-up (bán tải),Nhập khẩu,Quận Bắc Từ Liêm,Hà Nội,3,1
2025,585000000,2022,71000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Nam Từ Liêm,Hà Nội,3,0
2025,395000000,2018,90000.0,Tự động,Đã sử dụng,Xăng,Hatchback,Trong nước,Quận Hoàng Mai,Hà Nội,7,0
2025,1150000000,2019,50000.0,Tự động,Đã sử dụng,Xăng,Suv / cross over,Trong nước,Quận Tây Hồ,Hà Nội,6,0
2025,545000000,2021,79000.0,Tự động,Đã sử dụng,Xăng,Sedan,Trong nước,Quận Thanh Xuân,Hà Nội,4,0
